name,price,side_effects,used_for
Eptus 25 Tablet,₹ 354,"Dizziness,Diarrhea,Nausea,Cough,Flu-like symptoms,Fatigue,Increased potassium level in blood,Increased creatinine level in blood,Headache,","Treatment of Hypertension (high blood pressure),Treatment of Edema,Treatment of Heart failure,"
Ezact MR Tablet,₹ 230,"Diarrhea,Stomach pain,Indigestion,Flatulence,Swelling of hands,Feet swelling,Flu-like symptoms,","Pain due to muscle spasm,"
Ebast-DC Tablet,₹ 112,"Headache,Dryness in mouth,Nausea,Vomiting,Tiredness,Sleepiness,","Sneezing and runny nose due to allergies,"
Etova-ER 600 Tablet,₹ 181.45,"Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Dizziness,Drowsiness,Visual disturbance,","Pain relief,"
Ebast Tablet,₹ 115,"Sleepiness,Headache,Dryness in mouth,","Allergic conditions,"
Entavir 0.5mg Tablet,₹ 819.84,"Headache,Nausea,Rash,Vomiting,Fatigue,Stomach pain,Diarrhea,","Chronic hepatitis B virus (HBV) infection,HIV infection,"
Epidosin Injection,₹ 23.76,"Blurred vision,Increased heart rate,Dryness in mouth,Difficulty in swallowing,Urinary retention,Dilatation of pupil,Constipation,","Pain due to smooth muscle spasm,"
Eltroxin 100mcg Tablet,₹ 159.45,"Palpitations,Vomiting,Anxiety,Diarrhea,Flushing (sense of warmth in the face, ears, neck and trunk),Weight loss,Nervousness,Restlessness,","Hypothyroidism,"
Envas 2.5 Tablet,₹ 32.31,"Decreased blood pressure,Cough,Increased potassium level in blood,Fatigue,Weakness,Dizziness,","Hypertension (high blood pressure),Prevention of heart attack and stroke,Heart failure,"
Epsolin 50mg Injection 2ml,₹ 82.39,"Rash,Headache,Dizziness,Vomiting,Nausea,Slurred speech,Vertigo,Confusion,Nervousness,Constipation,Tremor,Altered walking,","Epilepsy/Seizures,"
Etoshine 60 Tablet,₹ 116,"Stomach pain,Diarrhea,","Pain relief,"
Esoz Tablet,₹ 167.50,"Headache,Dizziness,Dryness in mouth,Nausea,Abdominal pain,Constipation,Flatulence,Diarrhea,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Eva Q Syrup,₹ 269,"Cramps,Abdominal distension,Flatulence,","Constipation,"
Etosys Tablet,₹ 187.50,"Nausea,Stomach pain,Diarrhea,Headache,Nasal congestion (stuffy nose),Sinus pain,Sinus inflammation,Rash,Tiredness,Musculoskeletal (bone, muscle or joint) pain,Anemia (low number of red blood cells),","Heavy menstrual bleeding,"
Eyemist Gel,₹ 379,"Blurred vision,Eye irritation,Eye pain,Eye redness,Foreign body sensation in eyes,","Dry eyes,"
Erytop Lotion,₹ 108.88,"Application site reactions (burning, irritation, itching and redness),Skin rash,","Acne,"
Enzomac Tablet,₹ 338,"No common side effects seen,","Pain relief,"
O2 Tablet,₹ 149.75,"Nausea,Loss of appetite,Dizziness,Headache,","Treatment of Bacterial & parasitic infections,"
Ondem -MD 4 Tablet,₹ 52.33,"Constipation,Diarrhea,Fatigue,Headache,","Nausea,Vomiting,"
Oflox OZ Tablet,₹ 150.38,"Nausea,Loss of appetite,Dizziness,Headache,","Treatment of Bacterial & parasitic infections,"
Ovral L Tablet,₹ 72.21,"Nausea,Headache,Breast pain,Irregular uterine bleeding,","Contraception,"
Omnacortil 10 Tablet DT,₹ 10.84,"Reduction in bone density,Upset stomach,Behavioural changes,Mood changes,Weight gain,","Treatment of Severe allergic reactions,Treatment of Allergic conditions,Prevention of Asthma,Treatment of Rheumatic disorder,Treatment of Skin disorders,Treatment of Eye disorders,Treatment of Nephrotic syndrome,"
Omee Capsule,₹ 57,"Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,","Heartburn,Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Omnacortil 5 Tablet DT,₹ 6.27,"Reduction in bone density,Upset stomach,Behavioural changes,Mood changes,Weight gain,","Treatment of Severe allergic reactions,Treatment of Allergic conditions,Prevention of Asthma,Treatment of Rheumatic disorder,Treatment of Skin disorders,Treatment of Eye disorders,Treatment of Nephrotic syndrome,"
Omez Capsule,₹ 55.23,"Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,","Heartburn,Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Oxra 10mg Tablet,₹ 802.90,"Fungal infection of vagina,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,","Type 2 diabetes mellitus,"
Okacet Tablet,₹ 18.41,"Sleepiness,Dizziness,","Allergic conditions,"
O2 M Oral Suspension,₹ 57.10,"Vomiting,Nausea,Weight loss,Abdominal pain,Diarrhea,Loss of appetite,Headache,Insomnia (difficulty in sleeping),Dizziness,Metallic taste,Urine discoloration,","Treatment of Bacterial & parasitic infections,"
Ondero 5mg Tablet,₹ 515,"Hypoglycemia (low blood glucose level),Nasopharyngitis (inflammation of the throat and nasal passages),","Type 2 diabetes mellitus,"
Omez-Dsr Capsule,₹ 169.25,"Diarrhea,Stomach pain,Dryness in mouth,Headache,Flatulence,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Ondem Syrup,₹ 37.47,"Headache,Constipation,Diarrhea,Fatigue,","Treatment of Nausea,Treatment of Vomiting,"
Optineuron Injection,₹ 10,"Diarrhea,Tiredness,Headache,Nausea,Sleepiness,Upset stomach,","Nutritional deficiencies,Vitamin B12 deficiency,"
Orofer FCM Injection,"₹ 2,954","Vomiting,Headache,Dizziness,High blood pressure,Injection site reactions (pain, swelling, redness),Nausea,Dark colored stool,","Iron deficiency anemia,"
Oflox 200 Tablet,₹ 73.20,"Nausea,Stomach pain,Diarrhea,","Bacterial infections,"
Otogesic Ear Drop,₹ 150.04,"Irritation of ear,Ear discomfort,Ear pain,Headache,Dizziness,Taste change,","Local anesthesia (Numb tissues in a specific area),"
Oleanz 5 Tablet,₹ 47,"Dizziness,Sleepiness,Orthostatic hypotension (sudden lowering of blood pressure on standing),Dryness in mouth,Weight gain,Increased prolactin level in blood,Constipation,Muscle stiffness,Restlessness,Tremor,","Schizophrenia,Mania,"
Ondem 4 Tablet,₹ 52.33,"Constipation,Diarrhea,Fatigue,Headache,","Nausea,Vomiting,"
Ovral G Tablet,₹ 235.29,"Nausea,Headache,Breast pain,Irregular uterine bleeding,","Contraception,"
Ornof Tablet,₹ 119.20,"Nausea,Loss of appetite,Dizziness,Headache,","Treatment of Bacterial & parasitic infections,"
Oflomac-M Forte Suspension,₹ 36.70,"Vomiting,Nausea,Weight loss,Abdominal pain,Diarrhea,Loss of appetite,Headache,Insomnia (difficulty in sleeping),Dizziness,Metallic taste,Urine discoloration,","Treatment of Bacterial & parasitic infections,"
Oxetol 300 Tablet,₹ 103,"Headache,Nausea,Vomiting,Double vision,Fatigue,Dizziness,Impaired coordination,Nystagmus (involuntary eye movement),Tremor,Abnormal vision,Altered walking,Sleepiness,","Epilepsy/Seizures,"
Optive Eye Drop,₹ 142.59,"Eye irritation,Burning eyes,Eye discomfort,Eye itching,Eye pain,","Dry eyes,"
Oncet 3D Tablet SR,₹ 216.50,"Nausea,Vomiting,Stomach pain,Diarrhea,Skin rash,Flu-like symptoms,Rash,Hives,Itching,Drowsiness,Dizziness,Breathing problems,Headache,Increased white blood cell count,","Asthma,"
Ondero Met 2.5mg/500mg Tablet,₹ 275,"Diarrhea,Nausea,Vomiting,Upset stomach,Headache,Nasal congestion (stuffy nose),Sore throat,Respiratory tract infection,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,","Type 2 diabetes mellitus,"
Omnacortil 20 Tablet DT,₹ 21.79,"Reduction in bone density,Upset stomach,Behavioural changes,Mood changes,Weight gain,","Treatment of Severe allergic reactions,Treatment of Allergic conditions,Prevention of Asthma,Treatment of Rheumatic disorder,Treatment of Skin disorders,Treatment of Eye disorders,Treatment of Nephrotic syndrome,"
Onabet 2% Cream,₹ 347,"Application site reactions (burning, irritation, itching and redness),Skin irritation,","Fungal skin infections,"
Ocid 20 Capsule,₹ 39.96,"Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,","Heartburn,Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Iverscab 12mg Dispersible Tablet,₹ 58,"No common side effects seen,","Parasitic infections,"
Invokana  100mg Tablet,₹ 590,"Fungal infection of vagina,Urinary tract infection,Frequent urge to urinate,","Type 2 diabetes mellitus,"
Ivepred 4 Tablet,₹ 51,"Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioural changes,","Rheumatic disorder,Asthma,Systemic lupus erythematosus (SLE),Allergic conditions,Eye disorders,Skin disorders,"
Ivrea Shampoo,₹ 113,"Application site reactions (burning, irritation, itching and redness),","Head lice,"
Idofnib 100 Soft Gelatin Capsule,₹ 750,"Diarrhea,Nausea,Abdominal pain,Vomiting,Abnormal liver function tests,Loss of appetite,Headache,Weight loss,High blood pressure,","Idiopathic pulmonary fibrosis,Non-small cell lung cancer,"
Influvac 2020/2021 Vaccine,"₹ 1,076","Headache,Weakness,Injection site reactions (pain, swelling, redness),","Prevention of Influenza (flu),"
Ivermect 12mg Tablet,₹ 54,"No common side effects seen,","Parasitic infections,"
Iotim Eye Drop,₹ 60.60,"Burning eyes,Stinging in the eyes,","Glaucoma,Ocular hypertension,"
Ibugesic Plus Oral Suspension,₹ 32.60,"Nausea,Vomiting,Abdominal pain,Heartburn,Diarrhea,","Pain relief,Treatment of Fever,"
Iverfast 12mg Tablet,₹ 18,"No common side effects seen,","Parasitic infections,"
Igurati 25mg Tablet,₹ 215,"Limited data available,","Rheumatoid arthritis,"
Ivermectol 6 Tablet,₹ 42,"No common side effects seen,","Parasitic infections,"
Isotroin 10 Capsule,₹ 199,"Dry skin,Increased liver enzymes,Rash,","Acne,"
Isordil 5 Sublingual tablet,₹ 8.40,"Dizziness,Headache,Lightheadedness,Nausea,","Prevention of Angina (heart-related chest pain),"
Ismo 20 Tablet,₹ 109.87,"Headache,Dizziness,Flushing (sense of warmth in the face, ears, neck and trunk),Orthostatic hypotension (sudden lowering of blood pressure on standing),","Prevention of Angina (heart-related chest pain),"
Ivsit 12mg Tablet,₹ 15,"No common side effects seen,","Parasitic infections,"
Ivepred 8 Tablet,₹ 56.89,"Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioural changes,","Rheumatic disorder,Asthma,Systemic lupus erythematosus (SLE),Allergic conditions,Eye disorders,Skin disorders,"
Itin 12 Tablet,₹ 52,"No common side effects seen,","Parasitic infections,"
Ivepred 40mg Injection,₹ 60.24,"Nausea,Dizziness,Headache,Sweating,Edema (swelling),","Rheumatic disorder,Asthma,Allergic conditions,Eye disorders,Skin disorders,"
Itralase 200 Capsule,₹ 211.75,"Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,","Fungal infections,"
Istavel 50mg Tablet,₹ 289,"Headache,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),","Type 2 diabetes mellitus,"
Intaglip Tablet,₹ 82,"Hypoglycemia (low blood glucose level),Tremor,Headache,Dizziness,Fatigue,Nausea,","Type 2 diabetes mellitus,"
I Soft Ophthalmic Solution,₹ 495,"Limited data available,","Treatment of Dry eyes,"
Iverpan 12mg Tablet,₹ 15,"No common side effects seen,","Parasitic infections,"
Ivepred 16 Tablet,₹ 99.54,"Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioural changes,","Rheumatic disorder,Asthma,Systemic lupus erythematosus (SLE),Allergic conditions,Eye disorders,Skin disorders,"
Incid-L Tablet,₹ 18.30,"Sleepiness,Dizziness,","Allergic conditions,"
Intimacy Plus 2 Tablet,₹ 120,"Nausea,Stomach pain,Headache,Irregular uterine bleeding,Weight gain,Breast pain,","Contraception,"
Indclav 625 Tablet,₹ 200.55,"Vomiting,Nausea,Diarrhea,","Bacterial infections,"
Iopar-SR Capsule,₹ 47.38,"Headache,Dizziness,Tiredness,Frequent urge to urinate,Tingling sensation of extremity,Numbness of extremity,Loss of appetite,Excitement,Feeling sick,Diarrhea,Taste change,Flushing (sense of warmth in the face, ears, neck and trunk),","Glaucoma,"
Inderal LA 40 Tablet SR,₹ 46.13,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Primolut-N Tablet,₹ 57,"Headache,Dizziness,Breast tenderness,Nausea,Vaginal spotting,Vomiting,Abdominal cramp,","Heavy menstrual bleeding,Pain during menstruation,Endometriosis,Premenstrual syndrome (PMS),"
Pan-D Capsule PR,₹ 190,"Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
PAN 40 Tablet,₹ 138,"Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,Dizziness,","Heartburn,Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Pantop 40 Tablet,₹ 136.85,"Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,Dizziness,","Heartburn,Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Pantocid DSR Capsule,₹ 205,"Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Pulmoclear  Tablet,₹ 185,"Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,","Chronic obstructive pulmonary disease (COPD),"
Pantocid Tablet,₹ 159,"Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,Dizziness,","Heartburn,Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Persol  AC 2.5 Gel,₹ 116.86,"Itching,Dry skin,Burning sensation,Erythema (skin redness),Skin peeling,Stinging sensation,","Acne,"
Placida Tablet,₹ 69.57,"Constipation,Urinary retention,Weight gain,Sleepiness,Orthostatic hypotension (sudden lowering of blood pressure on standing),Increased heart rate,Increased prolactin level in blood,Blurred vision,Dryness in mouth,Muscle stiffness,Tremor,Restlessness,","Depression,"
Predmet 4 Tablet,₹ 51,"Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioural changes,","Rheumatic disorder,Asthma,Systemic lupus erythematosus (SLE),Allergic conditions,Eye disorders,Skin disorders,"
Pantop-D SR Capsule,₹ 129.50,"Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Prolomet XL 25 Tablet,₹ 45,"Fatigue,Headache,Slow heart rate,Dizziness,Nausea,Breathlessness,","Hypertension (high blood pressure),Angina (heart-related chest pain),Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Pacitane Tablet,₹ 39.94,"Dryness in mouth,Nausea,Vomiting,Constipation,Blurred vision,Dizziness,Upset stomach,Headache,Difficulty in urination,Nervousness,","Parkinson's disease,Drug induced abnormal movements,"
Perinorm Tablet,₹ 12.99,"Restlessness,Fatigue,Weakness,","Nausea,Vomiting,Indigestion,Heartburn,"
Pantop-D Capsule,₹ 99.50,"Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Pregaba-M 75 Capsule,₹ 245.55,"Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,","Neuropathic pain,"
Predmet 8 Tablet,₹ 56.89,"Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioural changes,","Rheumatic disorder,Asthma,Systemic lupus erythematosus (SLE),Allergic conditions,Eye disorders,Skin disorders,"
Pregabid NT Tablet,₹ 301,"Constipation,Difficulty in urination,Weight gain,Sleepiness,Dizziness,Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Uncoordinated body movements,","Neuropathic pain,"
Progynova 2mg Tablet,₹ 497,"Headache,Nausea,Breast pain,Abdominal cramp,Bloating,Vaginal spotting,Vomiting,","Hormone replacement therapy,"
Pirfenex Tablet,₹ 210,"Insomnia (difficulty in sleeping),Headache,Dizziness,Tiredness,Sinus inflammation,Loss of appetite,Upper respiratory tract infection,Weight loss,","Treatment of Idiopathic pulmonary fibrosis,"
Propygenta NF Cream,₹ 159,"Application site reactions (burning, irritation, itching and redness),Thinning of skin,","Bacterial skin infections,"
Pipzo 4.5gm Injection,₹ 273.94,"Nausea,Vomiting,Diarrhea,Rash,Allergic reaction,","Bacterial infections,"
Pause 500 Tablet,₹ 181.81,"Tiredness,Nasal congestion (stuffy nose),Musculoskeletal (bone, muscle or joint) pain,","Treatment of Bleeding,"
Proluton Depot Injection,₹ 306.40,"Nausea,Itching,Diarrhea,Hives,Nodules,Injection site reactions (pain, swelling, redness),","Prevention of Premature Labor,"
Prolomet XL 50 Tablet,₹ 64.36,"Fatigue,Headache,Slow heart rate,Dizziness,Nausea,Breathlessness,","Hypertension (high blood pressure),Angina (heart-related chest pain),Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Pantosec D SR Capsule,₹ 114,"Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Pantosec Tablet,₹ 118.65,"Diarrhea,Flatulence,Headache,Nausea,Stomach pain,Vomiting,Dizziness,","Heartburn,Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Pregalin 75 Capsule,₹ 253.45,"Blurred vision,Difficulty in paying attention,Dizziness,Dryness in mouth,Edema (swelling),Sleepiness,Weight gain,","Neuropathic pain,Epilepsy/Seizures,Fibromyalgia,"
Prazopress XL 5 Tablet,₹ 415,"Dizziness,Headache,Drowsiness,Weakness,Low energy,Palpitations,Nausea,","Hypertension (high blood pressure),Heart failure,Benign prostatic hyperplasia,"
Prothiaden Tablet,₹ 133.70,"Dryness in mouth,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Difficulty in urination,Constipation,Blurred vision,","Anxiety disorder,Depression,"
Cip-Zox Tablet,₹ 67,"Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Dryness in mouth,","Treatment of Pain due to muscle spasm,"
Colospa X Tablet,₹ 305.11,"Sleepiness,Drowsiness,Fatigue,Confusion,Uncoordinated body movements,Abnormality of voluntary movements,Skin rash,Slurred speech,","Irritable bowel syndrome,"
Clonafit 0.5 MD Tablet,₹ 33.41,"Depression,Dizziness,Drowsiness,Fatigue,Impaired coordination,","Treatment of Anxiety disorder,Treatment of Epilepsy/Seizures,"
